Date,Country,Injuries/Casualties,Type,Description,Source(s)
2011-10-15,United States,3,Transport,"Three teenagers (two sisters and a friend) were killed by a train while posing for a selfie that was found on their phone. Shortly before, they posted the message ""Standing right by a train ahaha this is awesome!!!!"" to Facebook.","[<sup class=""reference"" id=""cite_ref-8""><a href=""#cite_note-8"">[8]</a></sup>, <sup class=""reference"" id=""cite_ref-9""><a href=""#cite_note-9"">[9]</a></sup>]"
2014-03-01,Spain,1,Electrocution,A 21-year-old man was electrocuted after climbing on top of a train to take a selfie with friends and touching a wire that (contrary to the assumptions of the group) turned out to be live. One of the friends was hospitalized in serious condition.,"[<sup class=""reference"" id=""cite_ref-10""><a href=""#cite_note-10"">[10]</a></sup>]"
2014-03-01,Russia,1,Transport,"A train driver saw two people near the train tracks in front of them and applied the emergency brake and sounded the horn. One of the people on the tracks moved away and the second, a 15-year-old, was attempting to take a selfie when a collision occurred with the train and they were killed.","[<sup class=""reference"" id=""cite_ref-11""><a href=""#cite_note-11"">[11]</a></sup>]"
2014-04-01,United States,1,Transport,"A 32-year-old woman from North Carolina was driving when her vehicle veered across the center median, collided with a recycling truck, left the road, hit a tree, and burst into flames – moments after posting selfies online when she heard Pharrell Williams' song ""Happy"". The truck driver was unharmed.","[<sup class=""reference"" id=""cite_ref-12""><a href=""#cite_note-12"">[12]</a></sup>, <sup class=""reference"" id=""cite_ref-13""><a href=""#cite_note-13"">[13]</a></sup>]"
2014-04-22,Russia,1,Fall,"A 17-year-old girl fell 30 ft to her death after being hit by 1,500 volts when attempting to grab live wires on a railway bridge.","[<sup class=""reference"" id=""cite_ref-14""><a href=""#cite_note-14"">[14]</a></sup>]"
2014-05-01,India,1,Transport,A 15-year-old boy was killed by a train while posing for a selfie on the tracks.,"[<sup class=""reference"" id=""cite_ref-15""><a href=""#cite_note-15"">[15]</a></sup>]"
2014-05-31,United States,2,Transport,"A 29-year-old amateur pilot allegedly took selfies using a GoPro camera before his plane crashed, killing himself and the passenger on board.","[<sup class=""reference"" id=""cite_ref-16""><a href=""#cite_note-16"">[16]</a></sup>]"
2014-06-01,Italy,1,Fall,A 16-year-old girl died in Taranto after plunging 60 feet onto rocks while she was trying to take a photograph of herself on the seafront.,"[<sup class=""reference"" id=""cite_ref-17""><a href=""#cite_note-17"">[17]</a></sup>]"
2014-07-01,Philippines,1,Fall,"A 14-year-old high school student in the Philippines fell to her death after losing her balance while taking a selfie with a friend near a staircase landing of their school in suburban Pasig.  According to doctors, she sustained a sharp blow to the head from the fall and broke a rib which pierced a kidney.","[<sup class=""reference"" id=""cite_ref-18""><a href=""#cite_note-18"">[18]</a></sup>]"
2014-07-24,Belgium,1,Transport,A 12 year-old was with a second person taking selfies near a railway track. A train arrived and they went back down onto the train tracks to retrieve their bags. As they were waiting for the train to leave a second train approached that they did not hear. The second person jumped away before the train collided with them and the 12 year-old was hit by the train and killed.,"[<sup class=""reference"" id=""cite_ref-19""><a href=""#cite_note-19"">[19]</a></sup>, <sup class=""reference"" id=""cite_ref-20""><a href=""#cite_note-20"">[20]</a></sup>]"
2014-08-01,Philippines,1,Firearm,A 15-year-old boy in the Philippines was critically wounded after accidentally shooting himself while taking a selfie in which his other hand was holding a gun to his chin.,"[<sup class=""reference"" id=""cite_ref-21""><a href=""#cite_note-21"">[21]</a></sup>]"
2014-08-02,Mexico,1,Firearm,A 21-year-old man was drinking with friends and took a selfie to post on Facebook. He posed with a gun pointed at his face. The man accidentally shot himself and he was declared dead at the scene.,"[<sup class=""reference"" id=""cite_ref-22""><a href=""#cite_note-22"">[22]</a></sup>]"
