Date,Country,Injuries/Casualties,Type,Description,Source(s),cite_id,links
2011-10-15,United States,3,Transport,"Three teenagers (two sisters and a friend) were killed by a train while posing for a selfie that was found on their phone. Shortly before, they posted the message ""Standing right by a train ahaha this is awesome!!!!"" to Facebook.",cite_ref-8,cite_ref-8,"['https://www.up.com/aboutup/community/inside_track/selfie-tragedy-12-7-2016.htm', 'https://web.archive.org/web/20191208074643/https://www.up.com/aboutup/community/inside_track/selfie-tragedy-12-7-2016.htm']"
2011-10-15,United States,3,Transport,"Three teenagers (two sisters and a friend) were killed by a train while posing for a selfie that was found on their phone. Shortly before, they posted the message ""Standing right by a train ahaha this is awesome!!!!"" to Facebook.",cite_ref-9,cite_ref-9,"['http://www.deseretnews.com/article/705392623/Utah-County-community-mourns-loss-of-teenagers-hit-by-train.html', 'https://web.archive.org/web/20190404014551/https://www.deseretnews.com/article/705392623/Utah-County-community-mourns-loss-of-teenagers-hit-by-train.html']"
2014-03-01,Spain,1,Electrocution,A 21-year-old man was electrocuted after climbing on top of a train to take a selfie with friends and touching a wire that (contrary to the assumptions of the group) turned out to be live. One of the friends was hospitalized in serious condition.,cite_ref-10,cite_ref-10,"['http://www.thelocal.es/20140318/young-man-dies-in-train-selfie-fail', '/wiki/The_Local', 'https://web.archive.org/web/20190811071818/https://www.thelocal.es/20140318/young-man-dies-in-train-selfie-fail']"
2014-03-01,Russia,1,Transport,"A train driver saw two people near the train tracks in front of them and applied the emergency brake and sounded the horn. One of the people on the tracks moved away and the second, a 15-year-old, was attempting to take a selfie when a collision occurred with the train and they were killed.",cite_ref-11,cite_ref-11,"['https://orsk.ru/news/86935#', 'https://web.archive.org/web/20191210120811/https://orsk.ru/news/86935']"
2014-04-01,United States,1,Transport,"A 32-year-old woman from North Carolina was driving when her vehicle veered across the center median, collided with a recycling truck, left the road, hit a tree, and burst into flames – moments after posting selfies online when she heard Pharrell Williams' song ""Happy"". The truck driver was unharmed.",cite_ref-12,cite_ref-12,"['https://www.independent.co.uk/news/world/americas/selfie-crash-death-woman-dies-in-headon-collision-seconds-after-uploading-pictures-of-herself-and-happy-status-to-facebook-9293694.html', 'https://web.archive.org/web/20150923110845/http://www.independent.co.uk/news/world/americas/selfie-crash-death-woman-dies-in-headon-collision-seconds-after-uploading-pictures-of-herself-and-happy-status-to-facebook-9293694.html']"
2014-04-01,United States,1,Transport,"A 32-year-old woman from North Carolina was driving when her vehicle veered across the center median, collided with a recycling truck, left the road, hit a tree, and burst into flames – moments after posting selfies online when she heard Pharrell Williams' song ""Happy"". The truck driver was unharmed.",cite_ref-13,cite_ref-13,"['http://thenewswheel.com/woman-dies-after-posting-selfie-while-driving/', 'https://web.archive.org/web/20190110193010/http://thenewswheel.com/woman-dies-after-posting-selfie-while-driving/']"
2014-04-22,Russia,1,Fall,"A 17-year-old girl fell 30 ft to her death after being hit by 1,500 volts when attempting to grab live wires on a railway bridge.",cite_ref-14,cite_ref-14,"['https://www.theweek.co.uk/64328/selfie-deaths-five-people-who-died-taking-a-selfie', 'https://web.archive.org/web/20181010023546/http://www.theweek.co.uk/64328/selfie-deaths-five-people-who-died-taking-a-selfie']"
2014-05-01,India,1,Transport,A 15-year-old boy was killed by a train while posing for a selfie on the tracks.,cite_ref-15,cite_ref-15,"['http://gulfnews.com/news/asia/india/selfie-boy-15-killed-by-train-in-kerala-1.1336980', 'https://web.archive.org/web/20180316223206/http://gulfnews.com/news/asia/india/selfie-boy-15-killed-by-train-in-kerala-1.1336980']"
2014-05-31,United States,2,Transport,"A 29-year-old amateur pilot allegedly took selfies using a GoPro camera before his plane crashed, killing himself and the passenger on board.",cite_ref-16,cite_ref-16,"['https://www.cnn.com/2015/02/03/us/selfie-plane-crash/index.html', 'https://web.archive.org/web/20191115024853/https://www.cnn.com/2015/02/03/us/selfie-plane-crash/index.html']"
2014-06-01,Italy,1,Fall,A 16-year-old girl died in Taranto after plunging 60 feet onto rocks while she was trying to take a photograph of herself on the seafront.,cite_ref-17,cite_ref-17,"['https://www.mirror.co.uk/news/world-news/teenager-plunges-60ft-death-onto-3681522', 'https://web.archive.org/web/20180302165514/https://www.mirror.co.uk/news/world-news/teenager-plunges-60ft-death-onto-3681522']"
